site,year,n_total,larger_than_1m2,larger_than_2m2,larger_than_3m2,larger_than_5m2,larger_than_6m2
cbh,2014_byte,70297,695,434,339,251,222
cbh,2016,51456,460,281,210,160,135
cbh,2017,6452,965,727,614,489,455
cbh,2018,20584,496,339,277,225,207
cbh,2019,4822,187,125,97,73,68
cbh,2019_b,3853,178,130,112,89,75
cbh,2020,8537,218,154,135,104,95
cbh,2021,47239,279,192,150,108,92
rdg,2017_b,243,2,1,1,1,1
tlb,2014,3236,198,131,100,72,67
tlb,2016,16052,141,84,60,40,36
tlb,2017,17355,459,300,223,177,154
tlb,2018,5132,158,98,72,48,42
tlb,2019_a,690,58,48,35,27,26
tlb,2019_b,5528,168,94,77,53,45
tlb,2019_c,16961,199,83,62,37,34
tlb,2020,5208,94,66,49,36,31
tlb,2021,47662,113,66,52,37,31
